model,baseline_cv_average_precision,tuned_cv_average_precision,tuned_cv_roc_auc,selected_setting,cv_average_precision,params
hist_gradient_boosting,0.31579302668117154,0.3175024367510335,0.7507318608980956,tuned,0.3175024367510335,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 300, 'learning_rate': 0.1, 'l2_regularization': 0.0, 'class_weight': None}"
random_forest,0.30854847912426586,0.3102582898104936,0.74643096003236,tuned,0.3102582898104936,"{'n_estimators': 100, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}"
logistic_regression,0.3093329850399989,0.3096164617708688,0.7520140840017708,tuned,0.3096164617708688,"{'class_weight': None, 'C': 0.01}"
decision_tree,0.2534301893679625,0.2749240661213538,0.720713377262435,tuned,0.2749240661213538,"{'min_samples_leaf': 100, 'max_features': None, 'max_depth': 8, 'class_weight': 'balanced'}"
